,amplitude,flux_percentile_ratio_mid20,flux_percentile_ratio_mid35,flux_percentile_ratio_mid50,flux_percentile_ratio_mid65,flux_percentile_ratio_mid80,percent_difference_flux_percentile,percent_beyond_1_std,skew,std,stetson_j,stetson_k,weighted_average,median_absolute_deviation,period_fast,KIC,morph,period,BP-RP,Gmag,RUWE,Class
177,0.05339658260345459,0.14587701058610852,0.2635852221119466,0.3911137469408762,0.5454057007984837,0.7574586020118547,0.0028485177324645955,0.016730202336672172,-11.792506459582965,0.0034030419496595262,-0.9993877286824936,0.38416967558184556,0.9997252041382275,0.0006047487258911133,1.7314227530762847,3830820,0.06,15.582788,1.974792,15.474562,8.925,np
178,1.0983037650585175,0.2045828957972407,0.3646012611340028,0.5276521292637614,0.6696781015972835,0.8116900147674194,0.41904978437631124,0.3924652354421002,-0.548209321811419,0.13652604535082602,0.3467808942625269,1.049877120905981,0.9595241092890212,0.10095453262329102,0.13632431648664986,3832382,0.75,0.2726487,1.426332,15.802036,1.049,ev
179,0.264702171087265,0.3030041852690279,0.5119632516113954,0.6923026061363193,0.8329410032547843,0.9372003575577603,0.0856281812479515,0.4830682479850449,-0.05256085097248858,0.03297910083082939,-0.9431232995931377,1.1203486080596192,0.9988014680006878,0.03214821219444275,0.2158716287862717,3833859,0.99,0.4317433,0.7395,12.125741,12.443,ev
180,0.03175771236419678,0.12593891565848675,0.2277276927656721,0.3464364331157674,0.4967377094883007,0.7205181364694891,0.004886987531168975,0.2424335962218141,-0.014181692910816793,0.0017067208683632928,-0.9998540500810791,0.9031944708740222,0.999909631516957,0.0009167194366455078,26.927840198209942,3834322,0.43,0.996858,1.320113,15.386854,0.997,np
181,0.06801280379295349,0.1219732672143185,0.2243437510715923,0.338680971749968,0.4857935550516327,0.7019437246148229,0.028834191448651143,0.1733057583380921,-2.3732194681164596,0.011792257954512485,-0.9926133549826607,0.8128520242769454,0.9987313862499977,0.005295276641845703,2.89826110736063,3834364,0.23,2.9084549,0.971542,14.658092,0.992,sp
182,0.3481055498123169,0.03460717686933702,0.06303818240688597,0.09489447148626085,0.13736012460765337,0.24032460415122517,0.1483519616210554,0.07558929814673607,-3.84292328054578,0.05110662716374988,-0.833281004921126,0.5521371595444504,0.9880440972222759,0.007552385330200195,2.990151825850862,3838496,0.36,5.9803965,1.113758,18.024813,1.824,sp
183,0.34403344988822937,0.2839928679215248,0.47858501863715414,0.6442640743398773,0.778003874892396,0.897023651763409,0.06608239235184217,0.3955921844615242,-0.32966152084021016,0.026528311713675166,-0.9607973736199995,1.0656090869343662,0.9992847239370386,0.023111999034881592,0.20572627953017497,3848042,0.99,0.4114527,0.742194,14.997595,1.003,ev
184,0.24232465028762817,0.023033284295154176,0.04491132981341833,0.08105124461518817,0.2901823110319379,0.7033628599648177,0.3762758081684927,0.13814124328662264,-1.978835550602097,0.10542929164389897,-0.43226772664001323,0.7227600660289817,0.9492895738477318,0.013827264308929443,0.5236296657707862,3848919,0.57,1.0472603,1.059084,13.984121,1.317,sp
185,0.01538422703742981,0.1355117745419681,0.24312851929407645,0.36582309133923,0.5228183772226123,0.7489069813724377,0.002902659262332907,0.28267176986233716,0.4341548908855855,0.0009718029078069537,-0.9999527573085892,0.9487082986610239,0.9999422151011358,0.0005741417407989502,21.638085710561146,3848972,0.46,0.7410574,0.990457,14.439632,1.01,sp
186,0.03345656394958496,0.09197567075945803,0.17936620692009794,0.30937425962805876,0.4933819109150169,0.7421874056076782,0.002918715097866181,0.5403454588649608,4.092443620489569,0.0009813909471118724,-0.9999515696422144,0.8794193753925836,1.0000027431359846,0.0004901885986328125,34.493497767244996,3849155,0.41,1.1683133,0.989888,13.880334,1.119,np
