,col1,KIC,Porb,Class,PACF,hACF,P1min,P1max,P2min,P2max,h1min,h1max,h2min,h2max,Note,period,period_err,morph,RA,DEC,GLon,GLat,kmag,Teff,DR3Name,RAdeg,DEdeg,errHalfMaj,errHalfMin,errPosAng,SolID,Source,RandomI,e_RAdeg,e_DEdeg,Plx,e_Plx,RPlx,PM,pmRA,e_pmRA,pmDE,e_pmDE,RADEcor,RAPlxcor,RApmRAcor,RApmDEcor,DEPlxcor,DEpmRAcor,DEpmDEcor,PlxpmRAcor,PlxpmDEcor,pmRApmDEcor,NAL,NAC,NgAL,NbAL,gofAL,chi2AL,epsi,sepsi,Solved,APF,nueff,pscol,e_pscol,RApscolCorr,DEpscolCorr,PlxpscolCorr,pmRApscolCorr,pmDEpscolCorr,MatchObsA,Nper,amax,MatchObs,IPDgofha,IPDgofhp,IPDfmp,IPDfow,RUWE,Dup,o_Gmag,FG,e_FG,RFG,Gmag,e_Gmag,o_BPmag,FBP,e_FBP,RFBP,BPmag,e_BPmag,o_RPmag,FRP,e_FRP,RFRP,RPmag,e_RPmag,E(BP/RP),NBPcont,NBPblend,NRPcont,NRPblend,Mode,BP-RP,BP-G,G-RP,RV,e_RV,n_RV,o_RV,o_RVd,RVNper,RVS/N,RVgof,RVchi2,RVTdur,RVamp,RVtempTeff,RVtemplogg,RVtemp[Fe/H],Vatmparam,vbroad,e_Vbroad,o_Vbroad,GRVSmag,e_GRVSmag,o_GRVSmag,RVSS/N,VarFlag,PQSO,PGal,PSS,Teff_x,b_Teff_x,B_Teff_xa,logg,b_logg_x,B_logg_xa,[Fe/H],b_[Fe/H]_x,B_[Fe/H]_xa,Dist,b_Dist_x,B_Dist_xa,A0,b_A0_x,B_A0_xa,AG,b_AG_x,B_AG_xa,E(BP-RP),b_E(BP-RP)_x,B_E(BP-RP)_xa,Lib,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,RADEcorJ2000,angDist
680,681,6048024,62.816,sp,4.107,0.417,3.696,3.856,4.011,4.049,0.003,0.007,0.015,0.008,,62.816,0.0003896,0.0,293.5345,41.3299,74.3582,10.2146,12.849,6162.0,Gaia DR3 2077390026553647616,293.5344846178,41.32986070351,0.0,0.0,9.0,1636148068921376768,2077390026553647616,362150358,0.0087,0.0113,1.1364,0.011,103.0059,10.502,-1.246,0.012,-10.428,0.015,0.0881,0.0255,-0.1685,-0.0726,0.1901,-0.0959,-0.2393,-0.1026,-0.0056,0.1365,392,376,388,4,-1.2395,544.89,0.068,5.1109,31,True,1.583,,,,,,,,46,29,0.02093,50,0.01417,11.43,0,0,0.955,0,388,151826.75392,25.3578,5987.38,12.733996,0.002761,48,85584.2,41.9447,2040.41,13.007558,0.00284,47,95036.0,27.245,3488.2,12.303175,0.003792,1.19,0.0,0.0,0.0,0.0,0,0.704383,0.273561,0.430821,5.23,3.87,2.0,17.0,5.0,15.0,15.744,,,885.935,,6500.0,4.5,0.0,222.0,,,,12.133415,0.025455,12.0,,NOT_AVAILABLE,0.0,0.0,0.999712,6223.3,6216.9,6228.9,3.9237,3.917,3.9317,-0.343,-0.3466,-0.3376,872.3098,861.895,879.4748,0.079,0.0747,0.0826,0.0677,0.064,0.0708,0.0364,0.0344,0.0381,PHOENIX,293.53449199409,41.32990704977,0.193793,0.237905,0.1416,0.143431
681,682,6048106,1.559,ev,,,,,,,,,,,,1.5593608,3.59e-05,0.55,293.5584,41.3954,74.4256,10.2286,14.091,6777.0,Gaia DR3 2077390846883825024,293.55842759165,41.39532513034,0.0,0.0,8.0,1636148068921376768,2077390846883825024,13331973,0.0102,0.0131,0.5928,0.0127,46.6664,8.789,-3.002,0.014,-8.261,0.018,0.073,-0.0226,-0.1801,-0.0969,0.154,-0.1237,-0.3111,-0.1349,0.0198,0.1403,396,0,396,0,-0.6867,377.23,0.0,0.0,31,False,1.594,,,,,,,,46,29,0.025121,49,0.0427,1.927,0,0,0.975,0,370,49742.54978,67.5776,736.081,13.945547,0.003125,42,28800.7,96.1419,299.564,14.190035,0.004574,44,30181.8,216.153,139.632,13.548532,0.008646,1.186,0.0,0.0,0.0,0.0,0,0.641503,0.244488,0.397016,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,0.0,0.0,0.999929,7202.7,7189.3,7218.8,4.0485,4.0411,4.0657,-0.8133,-0.821,-0.8031,1527.3044,1491.2832,1540.7231,0.5466,0.5406,0.5531,0.4832,0.4777,0.4891,0.2612,0.2583,0.2644,A,293.55844537986,41.39536184499,0.222567,0.285134,0.147,0.283116
682,683,6050116,0.24,ev,,,,,,,,,,,,0.2399081,1e-07,0.79,294.138,41.3396,74.5792,9.817,14.258,4569.0,Gaia DR3 2077400678073089280,294.13797097569,41.33967847492,0.0,0.0,174.0,1636148068921376768,2077400678073089280,1526531858,0.0122,0.0156,2.2033,0.0153,143.6173,14.769,5.219,0.017,13.816,0.02,-0.0516,-0.0711,0.0203,-0.0061,0.1225,-0.0386,-0.2682,-0.1655,-0.0607,-0.0099,350,0,350,0,0.8987,372.71,0.0,0.0,31,False,1.462,,,,,,,,42,28,0.028107,45,0.03722,98.34,0,0,1.033,0,349,32967.25787,307.935,107.059,14.392159,0.010509,45,14325.3,390.227,36.71,14.948287,0.029707,45,27026.5,709.725,38.0802,13.668421,0.028761,1.254,0.0,0.0,0.0,0.0,0,1.279866,0.556128,0.723739,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,0.0,0.0,0.999911,4823.9,4773.2,4872.5,4.5254,4.5145,4.5359,0.3025,0.228,0.3591,448.4129,445.5262,451.9862,0.1763,0.126,0.2207,0.1378,0.0982,0.1728,0.0721,0.0514,0.0903,MARCS,294.13794008344,41.33961707146,0.278628,0.32472,-0.0078,0.294555
683,684,6056992,10.431,sp,7.499,1.297,7.28,7.692,,,0.04,0.067,,,,10.431153,3.12e-05,0.09,295.9188,41.3324,75.2127,8.6351,13.761,-1.0,Gaia DR3 2077023717382584576,295.91841757303,41.3320234058,0.0,0.0,12.0,1636148068921376768,2077023717382584576,390803821,0.0472,0.0561,0.2263,0.0578,3.9151,7.221,-2.314,0.064,-6.84,0.08,0.0787,0.0681,-0.0912,-0.1916,0.1043,-0.1958,-0.089,-0.1001,0.0789,-0.0257,368,0,367,1,2.0853,437.29,0.108,0.36233,31,False,1.516,,,,,,,,43,25,0.111121,45,0.003527,78.91,1,0,1.078,0,372,2423.39436,2.008,1206.87,17.226307,0.002898,39,1269.04,7.76746,163.379,17.579855,0.007207,37,1929.94,9.19344,209.925,16.534039,0.006406,1.32,0.0,2.0,0.0,1.0,0,1.045816,0.353548,0.692268,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999994,5134.6,5058.9,5249.5,4.6543,4.6235,4.6846,-3.0016,-3.3875,-2.5664,1384.5345,1320.9447,1462.7985,0.1138,0.0459,0.2152,0.0925,0.0371,0.1759,0.0509,0.0204,0.0968,MARCS,295.91843127143,41.33205380465,1.02957,1.284918,-0.0081,1.708569
684,685,6058614,1.731,sp,1.716,1.633,,,,,,,,,,1.7310801,2.4e-06,0.27,296.3057,41.3171,75.3409,8.3732,15.505,5735.0,Gaia DR3 2076827214042187648,296.30569366328,41.31708507883,0.0,0.0,17.0,1636148068921376768,2076827214042187648,1482254355,0.0198,0.022,0.518,0.0238,21.7399,8.137,-4.479,0.026,-6.794,0.027,0.0699,0.135,-0.0886,-0.1183,0.1845,-0.118,-0.1842,-0.0725,-0.1054,0.0251,399,0,399,0,2.6996,494.54,0.091,1.5832,31,False,1.528,,,,,,,,46,28,0.038589,49,0.007012,58.58,0,0,1.097,0,410,12753.27595,5.61727,2270.37,15.423312,0.002797,43,6453.38,13.4405,480.144,15.814075,0.003591,45,8995.9,12.4528,722.402,14.862784,0.004067,1.211,0.0,1.0,0.0,0.0,0,0.95129,0.390762,0.560528,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999975,5556.7,5524.2,5610.5,4.2428,4.2264,4.2588,-0.6588,-0.6936,-0.6022,1532.58,1490.5203,1580.9482,0.2653,0.245,0.2981,0.2197,0.2028,0.2473,0.1189,0.1098,0.1339,MARCS,296.30572016706,41.31711527343,0.415737,0.443274,0.0363,0.058186
685,686,6058875,1.13,sp,1.124,0.866,1.12,1.122,1.129,1.136,0.169,0.058,0.034,0.031,,1.1298682,1.6e-06,0.51,296.3704,41.3905,75.4295,8.3663,15.839,4586.0,Gaia DR3 2076827901236942208,296.37051299286,41.39064066006,0.0,0.0,143.0,1636148068921376768,2076827901236942208,1709194851,0.0472,0.0487,0.9191,0.0571,16.093,8.982,-2.591,0.067,-8.6,0.063,-0.1074,-0.0274,-0.3188,0.0426,0.3341,0.0699,-0.2448,0.1682,-0.3124,-0.1587,325,0,320,5,0.5158,339.66,0.18,1.4176,95,False,,1.4562,0.0138,-0.093,0.087,0.052,-0.154,-0.046,38,23,0.099435,49,0.02427,17.83,0,32,1.02,0,346,3667.36456,2.87519,1275.52,16.776482,0.002884,0,,,,,,0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,296.37052834245,41.39067888248,1.085651,1.017076,-0.1597,0.593955
686,687,6060580,2.313,sp,2.309,1.405,,,,,,,,,,2.3133689,3.5e-06,0.31,296.7686,41.3195,75.5139,8.0706,13.46,5308.0,Gaia DR3 2076835494739440896,296.76867042232,41.31951762062,0.0,0.0,133.0,1636148068921376768,2076835494739440896,942832315,0.0434,0.0432,0.786,0.0501,15.6834,8.749,8.603,0.055,-1.588,0.056,-0.0606,0.0084,-0.1281,-0.0495,0.0555,-0.0541,-0.2166,-0.1117,-0.2061,-0.0289,403,0,403,0,75.9491,8769.0,0.583,276.31,31,False,1.52,,,,,,,,47,27,0.079133,52,0.00858,110.0,0,0,4.67,0,412,80284.20487,31.1729,2575.45,13.425792,0.002787,49,40515.8,25.9377,1562.04,13.819482,0.002875,46,57649.8,21.5225,2678.59,12.845901,0.003801,1.223,0.0,0.0,0.0,0.0,0,0.97358,0.39369,0.57989,0.67,1.91,2.0,27.0,4.0,21.0,14.648,,,916.601,,5250.0,4.5,-0.25,222.0,,,,12.62013,0.027916,23.0,,NOT_AVAILABLE,0.0,0.0,0.999951,5723.6,5696.0,5740.7,3.736,3.7285,3.7411,-0.1917,-0.2167,-0.181,1215.4639,1211.2054,1220.525,0.3225,0.3075,0.3334,0.2659,0.2535,0.275,0.1421,0.1355,0.147,PHOENIX,296.76861951099,41.31952467818,0.883994,0.910908,-0.0236,0.200727
687,688,6061139,0.322,ev,,,,,,,,,,,,0.3224413,2e-07,0.76,296.8937,41.3081,75.5503,7.9831,15.232,5063.0,Gaia DR3 2076837247086134784,296.89368666548,41.30805701545,0.0,0.0,171.0,1636148068921376768,2076837247086134784,275683385,0.0182,0.0196,0.9158,0.0218,42.091,11.429,-3.486,0.024,-10.884,0.026,-0.0241,0.0142,-0.1015,-0.008,0.0912,-0.0242,-0.1859,-0.1262,-0.1145,0.0703,355,0,354,1,0.9698,388.64,0.0,0.0,31,False,1.482,,,,,,,,43,27,0.036305,48,0.03101,136.1,0,0,1.036,0,370,15285.72471,90.2836,169.308,15.226652,0.00698,46,6981.61,115.843,60.2681,15.728653,0.01823,46,11868.3,186.269,63.7156,14.561927,0.017454,1.233,0.0,0.0,0.0,0.0,0,1.166726,0.502001,0.664725,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,0.0,0.0,0.999968,5054.7,5030.4,5085.1,4.3613,4.3428,4.378,0.302,0.2705,0.3298,1007.5527,982.5272,1044.2961,0.2263,0.2052,0.2518,0.1799,0.163,0.2004,0.0944,0.0856,0.1051,MARCS,296.89370728819,41.30810538906,0.388072,0.414426,0.0707,0.164695
688,689,6063448,76.018,pux,,,,,,,,,,,,76.0176958,0.0005066,0.03,297.4073,41.3298,75.7609,7.6579,13.755,6416.0,Gaia DR3 2076871435023030528,297.40730924024,41.32973804937,0.0,0.0,151.0,1636148068921376768,2076871435023030528,1037911110,0.0861,0.0928,0.6766,0.1021,6.6245,7.545,-0.634,0.114,-7.519,0.123,-0.1182,-0.0892,-0.0836,-0.0499,0.0663,-0.0595,-0.1382,-0.0157,-0.1313,-0.2016,361,0,361,0,123.5425,24417.0,1.164,898.09,31,False,1.567,,,,,,,,42,26,0.180771,45,0.01657,55.73,0,0,8.259,0,377,61885.71016,42.1291,1468.95,13.708391,0.002853,42,34452.4,35.8194,961.837,13.995492,0.00301,39,40469.4,28.5857,1415.72,13.230079,0.003856,1.211,0.0,0.0,0.0,0.0,0,0.765413,0.287101,0.478312,31.7,6.7,2.0,20.0,5.0,18.0,8.082,,,916.601,,6500.0,4.0,-0.25,222.0,,,,13.032694,0.066686,15.0,,VARIABLE,0.0,0.0,0.999967,7471.6,7454.2,7492.6,4.1369,4.1147,4.1587,-0.2672,-0.2801,-0.2523,1275.7843,1242.7852,1312.0105,0.9163,0.909,0.9246,0.8055,0.7988,0.8132,0.4336,0.43,0.4377,A,297.40731299086,41.32977146628,1.825683,1.983248,-0.1942,0.223172
689,690,6066379,1.304,ev,,,,,,,,,,,,1.3038602,4.6e-06,0.55,298.1325,41.3343,76.0382,7.1879,15.475,6047.0,Gaia DR3 2073880729036921344,298.13248437788,41.33432118185,0.0,0.0,150.0,1636148068921376768,2073880729036921344,160427713,0.0454,0.0483,0.2765,0.0558,4.9514,4.016,-1.78,0.065,-3.6,0.069,-0.1068,-0.0563,-0.1645,0.0637,0.1699,0.0496,-0.068,0.1229,-0.2832,-0.2617,380,0,366,14,16.422,1080.7,0.472,19.684,95,False,,1.5464,0.0139,-0.125,0.03,0.01,-0.022,-0.001,44,26,0.104881,52,0.03719,118.4,42,1,1.67,0,351,6956.54209,8.30083,838.054,16.081383,0.003045,46,5797.14,39.7577,145.812,15.930509,0.007952,41,8479.91,37.7339,224.73,14.926917,0.006134,2.052,0.0,46.0,0.0,41.0,0,1.003592,-0.150874,1.154466,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,0.0,0.000448,0.99954,,,,,,,,,,,,,,,,,,,,,,,298.13249491608,41.33433718319,1.046355,1.10345,-0.2637,0.084051
690,691,6067735,0.446,ev,,,,,,,,,,,,0.4461815,3e-07,0.85,298.4543,41.3149,76.1437,6.9693,12.65,5558.0,Gaia DR3 2073836404979084160,298.4542567493,41.31488969782,0.002,0.002,179.0,1636148068921376768,2073836404979084160,6758676,1.7749,1.9689,,,,,,,,,-0.0026,,,,,,,,,,315,203,312,3,1216.8748,11790000.0,22.392,354930.0,3,False,,,,,,,,,38,25,4.480254,52,0.2624,75.73,60,6,,0,320,120968.71277,1661.61,72.8021,12.980684,0.015166,35,91096.3,870.092,104.697,12.939791,0.010739,34,118362.0,1023.77,115.614,12.064862,0.010123,1.732,0.0,35.0,0.0,34.0,0,0.874928,-0.040894,0.915822,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999872,,,,,,,,,,,,,,,,,,,,,,,298.4542567493,41.31488969782,1.774908,1.968939,-0.0026,0.122097
691,692,6072578,0.27,ev,,,,,,,,,,,,0.2696718,2e-07,0.77,299.4453,41.3524,76.5573,6.3477,14.677,5017.0,Gaia DR3 2075158980035253760,299.44532247856,41.35247573688,0.0,0.0,7.0,1636148068921376768,2075158980035253760,1316428042,0.0136,0.0162,1.5744,0.0172,91.5503,22.35,8.901,0.019,20.501,0.02,0.0442,0.0318,-0.0257,-0.1042,0.1381,-0.1199,-0.1866,-0.1702,-0.1529,0.0088,381,0,375,6,0.3877,389.12,0.0,2.0896e-15,31,False,1.48,,,,,,,,44,27,0.02841,47,0.009196,167.4,0,0,1.013,0,385,25511.01077,5.07128,5030.49,14.670547,0.002764,41,11646.2,14.7994,786.939,15.173079,0.003113,46,19728.0,15.9798,1234.56,14.010188,0.00388,1.23,0.0,25.0,0.0,27.0,0,1.162891,0.502532,0.660359,-47.43,3.61,2.0,17.0,3.0,13.0,5.0922,,,884.365,,5000.0,4.5,0.5,222.0,,,,13.640285,0.103778,16.0,,NOT_AVAILABLE,0.0,0.0,0.99985,5009.4,4947.9,5058.9,4.4851,4.464,4.4996,0.4797,0.4042,0.5509,632.0347,618.1679,649.2908,0.1742,0.1181,0.2151,0.1378,0.0933,0.1704,0.0719,0.0487,0.0888,MARCS,299.44526977819,41.35238461992,0.296912,0.327554,0.0194,0.27325
692,693,6103049,0.643,sp,0.633,0.2,0.642,0.643,,,0.146,0.101,,,,0.6431712,6e-07,0.59,283.7682,41.4411,71.3497,16.9307,15.147,5623.0,Gaia DR3 2103732332283777920,283.76821807362,41.44109236448,0.0,0.0,149.0,1636148068921376768,2103732332283777920,546806054,0.022,0.0241,0.3997,0.0255,15.6997,2.544,-0.827,0.028,-2.406,0.03,-0.1826,-0.2392,-0.1664,0.1416,0.2256,0.106,-0.3477,0.0108,-0.1651,-0.1286,350,0,350,0,7.3925,600.21,0.155,5.8466,31,False,1.531,,,,,,,,40,27,0.044743,43,0.02373,57.37,1,0,1.293,0,358,17448.44337,12.0541,1447.51,15.082975,0.002856,40,8927.74,22.1062,403.856,15.461688,0.003875,40,12216.7,30.3496,402.533,14.530509,0.004643,1.212,0.0,2.0,0.0,1.0,0,0.931179,0.378713,0.552466,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999957,5588.6,5558.2,5626.1,4.0794,4.0655,4.0932,-0.4856,-0.5263,-0.4462,1850.3368,1799.6685,1913.1091,0.2357,0.216,0.2589,0.1956,0.1791,0.2151,0.1056,0.0967,0.1161,MARCS,283.76822297466,41.44110305785,0.446624,0.495309,-0.1375,0.057984
693,694,6106771,0.264,ev,,,,,,,,,,,,0.2638263,2e-07,0.77,285.5787,41.4378,71.8775,15.6716,15.491,5559.0,Gaia DR3 2103864514198371072,285.57868197736,41.4376855199,0.0,0.0,159.0,1636148068921376768,2103864514198371072,574258601,0.0217,0.0228,0.8562,0.0252,33.938,17.233,-2.711,0.028,-17.018,0.031,-0.0456,0.034,0.0622,-0.0124,0.1539,-0.04,-0.0807,-0.1295,-0.0424,0.0277,340,0,339,1,-0.4296,336.56,0.0,0.0,31,False,1.521,,,,,,,,40,28,0.042923,44,0.04335,103.7,1,0,0.982,0,355,10853.93703,86.9289,124.86,15.598398,0.009122,44,5235.55,135.18,38.7301,16.041138,0.028172,42,7863.47,195.684,40.1846,15.00886,0.027282,1.207,0.0,2.0,0.0,3.0,0,1.032278,0.442739,0.589539,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,0.0,0.0,0.999931,5308.2,5288.3,5339.5,4.4684,4.4503,4.4864,-0.1666,-0.2007,-0.1252,1113.8412,1084.767,1145.8464,0.0112,0.0029,0.0294,0.0091,0.0023,0.0238,0.0048,0.0012,0.0126,PHOENIX,285.57869805092,41.43776115738,0.449227,0.497533,0.0299,0.419855
694,695,6109688,14.087,pux,,,,,,,,,,,,14.0867881,4.72e-05,0.18,286.9136,41.4815,72.3239,14.7676,12.271,6845.0,Gaia DR3 2100921052852233600,286.91358116577,41.48150934671,0.0,0.0,155.0,1636148068921376768,2100921052852233600,496132575,0.017,0.0188,1.0936,0.0199,54.9395,0.69,0.634,0.023,0.272,0.023,-0.1171,0.0892,-0.1291,0.0376,-0.0682,0.0477,-0.1309,-0.1175,-0.0159,-0.0853,360,360,360,0,21.7348,2463.1,0.211,66.301,31,True,1.62,,,,,,,,42,27,0.033238,46,0.01908,150.4,0,0,1.917,0,383,250655.30655,51.7018,4848.1,12.189674,0.002764,45,151019.0,109.037,1385.02,12.390964,0.002898,43,144595.0,63.5797,2274.23,11.847512,0.003809,1.179,0.0,1.0,0.0,0.0,0,0.543451,0.201289,0.342162,-24.37,9.46,1.0,13.0,4.0,12.0,17.083,15.779,0.0,856.294,75.48,7500.0,4.5,0.25,555.0,,,,11.671101,0.021922,9.0,18.51685,NOT_AVAILABLE,0.0,0.0,0.999728,7213.3,7199.2,7229.0,4.035,4.0244,4.0529,-0.431,-0.4373,-0.4253,841.9847,820.0665,854.337,0.322,0.3162,0.3283,0.2872,0.282,0.2929,0.1544,0.1516,0.1575,A,286.91357740535,41.48150813877,0.364899,0.373618,-0.0885,0.063594
695,696,6118779,0.364,ev,,,,,,,,,,,,0.3642464,2e-07,0.9,290.2789,41.4117,73.3283,12.4407,15.51,5428.0,Gaia DR3 2101794752279671680,290.27882432199,41.41164528242,0.0,0.0,148.0,1636148068921376768,2101794752279671680,239166203,0.0205,0.0208,0.5402,0.0235,23.0182,10.851,-2.162,0.029,-10.634,0.027,-0.021,-0.1081,-0.1957,-0.0013,0.0791,-0.0341,-0.2207,-0.161,-0.178,0.0825,428,0,428,0,-1.5239,396.34,0.0,0.0,31,False,1.522,,,,,,,,49,28,0.041101,53,0.03273,176.9,0,0,0.947,0,427,10520.48262,66.9996,157.023,15.632277,0.007443,48,5307.01,98.2046,54.0404,16.026417,0.020284,48,7692.09,134.717,57.0981,15.032784,0.019387,1.236,0.0,3.0,0.0,1.0,0,0.993632,0.394139,0.599493,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,0.0,0.0,0.999925,5464.9,5413.9,5511.9,4.4226,4.3879,4.4705,0.2597,0.1773,0.3204,1361.7715,1229.5197,1438.2963,0.1167,0.0843,0.1485,0.0957,0.0691,0.1219,0.0506,0.0365,0.0644,MARCS,290.27883713604,41.41169254304,0.466414,0.43721,0.0823,0.286836
696,698,6128027,5.456,sp,6.334,1.563,6.242,6.326,,,0.136,0.178,,,,5.4557662,1.22e-05,0.13,293.2185,41.4173,74.3271,10.4654,15.863,4878.0,Gaia DR3 2077581440350287360,293.21853826935,41.41729482434,0.0,0.0,6.0,1636148068921376768,2077581440350287360,833878178,0.0394,0.0446,0.856,0.0468,18.2917,8.374,-1.717,0.055,-8.196,0.055,0.0279,0.0152,-0.1142,-0.033,0.0505,-0.0404,-0.1974,-0.0818,-0.1274,0.069,447,0,445,2,31.8817,2318.2,0.485,30.801,31,False,1.473,,,,,,,,52,29,0.079317,55,0.01814,11.47,25,0,2.248,0,447,8117.583,11.3905,712.664,15.9138,0.003148,55,3771.31,17.6249,213.976,16.397312,0.005791,52,6676.01,19.3013,345.884,15.186603,0.004913,1.287,0.0,55.0,0.0,52.0,0,1.21071,0.483512,0.727198,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999972,4942.1,4922.3,4960.8,4.4121,4.385,4.4354,-0.3138,-0.3395,-0.288,1052.6755,1008.4475,1101.1385,0.3282,0.3103,0.3451,0.2599,0.2456,0.2734,0.1386,0.131,0.1459,MARCS,293.21854844514,41.41733125103,0.880187,0.892278,0.0713,0.105817
697,699,6128141,1.873,sp,1.839,0.504,1.87,1.877,,,0.078,0.031,0.026,0.026,,1.8726245,2.6e-06,0.3,293.2529,41.4263,74.3471,10.4466,14.337,5775.0,Gaia DR3 2077581513373162624,293.25285556419,41.42630214013,0.0,0.0,174.0,1636148068921376768,2077581513373162624,1175949724,0.0219,0.0262,0.5346,0.0267,20.0345,5.601,-4.228,0.03,-3.673,0.033,-0.0407,0.067,-0.0996,-0.0291,0.0548,-0.0314,-0.2254,-0.0945,-0.1219,-0.0201,429,9,429,0,26.4705,1784.5,0.29,41.237,31,False,1.55,,,,,,,,50,28,0.046036,53,0.02962,7.748,0,0,2.034,0,414,36733.18335,9.72853,3775.82,14.27472,0.00277,47,19562.8,20.2863,964.333,14.609966,0.003009,44,24761.1,21.7214,1139.94,13.76347,0.003898,1.207,0.0,1.0,0.0,1.0,0,0.846497,0.335246,0.51125,18.66,11.86,2.0,14.0,4.0,13.0,4.9008,,,885.935,,5750.0,4.5,-0.25,222.0,,,,13.737894,0.1517,11.0,,NOT_AVAILABLE,0.0,0.0,0.999955,6083.2,6069.3,6094.3,3.7549,3.7391,3.7694,0.0354,0.0267,0.0424,2204.3547,2169.2705,2248.631,0.3523,0.3437,0.3586,0.2979,0.2906,0.3033,0.16,0.156,0.163,MARCS,293.25288062672,41.42631846355,0.484524,0.532029,-0.017,0.120182
698,700,6128248,0.292,ev,,,,,,,,,,,,0.2917436,2e-07,0.76,293.2808,41.4357,74.3653,10.4322,15.166,4867.0,Gaia DR3 2077581719531619328,293.28078481362,41.43565168107,0.0,0.0,4.0,1636148068921376768,2077581719531619328,726310738,0.0163,0.0186,1.148,0.02,57.4558,4.426,-3.214,0.022,-3.043,0.024,0.0179,-0.0409,-0.0714,-0.0181,0.1064,-0.0413,-0.1386,-0.1455,-0.1594,0.0406,422,0,421,1,-0.4158,418.2,0.0,1.9707e-15,31,False,1.472,,,,,,,,49,28,0.033347,52,0.03143,27.09,0,0,0.985,0,424,14723.29963,117.023,125.816,15.267354,0.009059,47,6491.75,166.883,38.9,15.807637,0.02805,48,11778.2,266.044,44.2716,14.570198,0.024814,1.241,0.0,1.0,0.0,4.0,0,1.237439,0.540283,0.697156,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,0.0,0.0,0.999943,4965.3,4926.7,4996.8,4.4631,4.4516,4.4891,0.4557,0.3821,0.4872,834.2288,777.3381,853.0707,0.1509,0.1113,0.1813,0.1185,0.0873,0.1426,0.0615,0.0454,0.074,PHOENIX,293.28080387007,41.43566520439,0.359118,0.383472,0.043,0.17683
699,701,6131659,17.528,np,2.677,0.164,,,,,,,,,a,17.5278303,6.5e-05,0.09,294.2791,41.4369,74.7165,9.7685,12.534,4870.0,Gaia DR3 2077496473024613632,294.27906531474,41.43678197672,0.0,0.0,162.0,1636148068921376768,2077496473024613632,1473176578,0.2124,0.2602,4.0757,0.2589,15.7411,22.14,2.613,0.302,-21.986,0.346,-0.1525,-0.1059,-0.2469,0.0603,0.1508,0.0636,-0.1187,0.0392,-0.0129,-0.1098,348,348,347,1,210.1405,308360.0,2.932,11200.0,95,False,,1.6255,0.0615,-0.026,0.089,0.046,-0.087,0.063,41,26,0.488309,45,0.04989,87.93,42,0,16.054,0,353,266117.29757,577.42,460.873,12.124684,0.003625,41,137953.0,99.9937,1379.62,12.489215,0.002899,39,206891.0,136.846,1511.85,11.458543,0.003847,1.296,0.0,2.0,0.0,1.0,0,1.030672,0.364531,0.666142,11.62,10.58,1.0,14.0,3.0,11.0,29.977,38.045,0.0,825.631,78.42,4750.0,4.5,-0.25,222.0,18.7064,23.8199,9.0,11.244414,0.013787,11.0,,NOT_AVAILABLE,0.0,0.0,0.999895,5665.5,5527.7,5810.1,4.5894,4.5422,4.6404,-0.2208,-0.4083,-0.0717,192.8959,168.8571,218.2114,0.4673,0.382,0.5545,0.3849,0.3136,0.4582,0.2069,0.1689,0.2462,MARCS,294.27904982304,41.43687969021,4.891474,5.565596,-0.1137,0.438916
