tic__tess_id,tic__ra,tic__dec,tic__Tmag,bjd0,period,morph_coeff,
0289969374, 118.627391, 78.112595, 10.28, 1842.573094, 0.2558883, 0.738,
0268652258, 17.440726, -20.216501, 9.10, 1385.993890, 0.2564874, 0.721,
0367681735, 246.956148, 72.971681, 11.80, 1687.865416, 0.2567958, 0.796,
0141975903, 95.726479, -75.033733, 10.83, 1411.009109, 0.2577022, 0.758,
0117515123, 339.851717, -46.875605, 10.43, 1325.606486, 0.2595402, 0.818,
0440657189, 6.864952, 26.836940, 10.38, 1765.127218, 0.2601454, 0.888,
0389728831, 350.695702, -42.810757, 11.01, 1354.219782, 0.2608820, 0.744,
0425064757, 82.918166, -69.883933, 11.36, 1598.424348, 0.2615397, 0.447,
0179368346, 211.860811, -38.594186, 10.98, 1600.016576, 0.2626685, 0.731,
0308076113, 167.894919, -13.436106, 10.19, 1544.376092, 0.2635613, 0.747,
0149438705, 140.412734, 26.551328, 13.66, 1870.478750, 0.2641329, 0.465,
0049175300, 165.295248, -31.546836, 9.54, 1544.410518, 0.2641902, 0.888,
0364965655, 298.167767, 58.639223, 8.27, 1683.724975, 0.2642641, 0.742,
0160425283, 235.902727, 75.261412, 14.71, 1842.814992, 0.2653612, 0.756,
0070761941, 0.788318, -34.938528, 11.74, 1354.263678, 0.2654127, 0.734,
0231629787, 317.179598, -56.618101, 14.00, 1325.354312, 0.2665624, 0.864,
1102093577, 225.946790, 47.653977, 4.57, 1738.737253, 0.2678155, 0.734,
0283819432, 225.947361, 47.654227, 4.62, 1738.737253, 0.2678155, 0.750,
0260162199, 92.804135, -55.953250, 11.91, 1325.362991, 0.2680682, 0.754,
0251829135, 6.418628, -34.828938, 9.15, 1354.263769, 0.2686421, 0.737,
0356001283, 240.473205, 24.871538, 11.22, 1956.036259, 0.2687247, 0.744,
0371738956, 344.391394, 59.077644, 8.28, 1764.897112, 0.2687508, 0.725,
0240122720, 101.143181, 33.749059, 13.13, 1842.698830, 0.2693780, 0.538,
0060987622, 29.492753, 19.568727, 9.58, 1764.918592, 0.2695980, 0.874,
0077630842, 153.789021, -3.142490, 14.38, 1517.370798, 0.2698741, 0.565,
0470275219, 64.463235, 51.726875, 13.00, 1816.352500, 0.2707743, 0.640,
0146557531, 77.341789, -19.542662, 11.42, 1438.200118, 0.2708487, 0.771,
0049799894, 47.239686, -2.863446, 10.64, 1411.125219, 0.2709015, 0.914,
0156563222, 213.205795, 24.534255, 9.60, 1930.390266, 0.2711506, 0.750,
0053479497, 162.075026, 52.308278, 14.20, 1870.653389, 0.2712799, 0.922,
0099746674, 140.798735, 47.689352, 9.67, 1870.487262, 0.2716514, 0.584,
0146637697, 42.566346, -46.818931, 11.95, 1386.117944, 0.2717596, 0.743,
0441764197, 261.026237, 73.910508, 11.40, 2010.344510, 0.2728818, 0.727,
0219145901, 89.392614, -51.729497, 9.66, 1411.060833, 0.2729386, 0.880,
0281728276, 11.675169, -54.623776, 10.79, 1354.210186, 0.2733184, 0.750,
0126637765, 314.695952, -42.617884, 11.40, 1325.376395, 0.2734502, 0.835,
0185466937, 232.361950, -28.847760, 7.96, 1600.132279, 0.2743782, 0.838,
0004164713, 114.625919, 33.711681, 7.49, 1842.988383, 0.2747868, 0.832,
0092938280, 83.638067, -22.640969, 12.39, 1438.182199, 0.2750374, 0.729,
0092938279, 83.636630, -22.640996, 12.54, 1438.181769, 0.2750419, 0.720,
0158565141, 222.365229, 57.298634, 9.24, 1711.602967, 0.2751824, 0.795,
0365301387, 46.098760, 6.196670, 11.01, 1410.950449, 0.2753563, 0.766,
0031118189, 81.215114, -28.153285, 10.24, 1438.213365, 0.2757730, 0.773,
