,KIC,Porb,Class,PACF,hACF,P1min,P1max,P2min,P2max,h1min,h1max,h2min,h2max,Note
1498,9238207,0.231,ev,,,,,,,,,,,
1499,9240664,10.784,np,153.681,0.02,,,,,,,,,a
1500,9243795,14.443,ot,,,,,,,,,,,
1501,9246715,171.278,np,93.034,0.646,,,,,,,,,a
1502,9266285,5.614,sp,33.613,0.733,32.65,33.653,,,0.067,0.106,,,
1503,9268105,0.426,ev,,,,,,,,,,,
1504,9272276,0.281,ev,,,,,,,,,,,
1505,9274472,0.302,ev,,,,,,,,,,,
1506,9278021,3.359,np,3.29,0.872,,,,,,,,,a
1507,9278553,18.61,np,166.35,0.305,,,,,,,,,a
1508,9282687,1.68,ev,,,,,,,,,,,
1509,9283826,0.357,ev,,,,,,,,,,,
1510,9284741,20.729,sp,22.17,0.515,,,,,,,,,
1511,9285587,1.812,ev,,,,,,,,,,,
1512,9288786,1.744,sp,1.982,1.213,,,,,,,,,
1513,9291368,3.796,ev,,,,,,,,,,,
1514,9291629,20.686,sp,20.679,1.165,,,,,,,,,
1515,9291748,15.927,sp,13.65,1.582,,,,,,,,,
1516,9307423,0.559,ev,,,,,,,,,,,
1517,9328852,0.646,sp,0.654,0.741,0.645,0.646,,,0.096,0.318,,,
1518,9343862,1.123,ev,,,,,,,,,,,
1519,9344623,14.759,np,191.381,0.034,,,,,,,,,a
1520,9345163,0.245,ev,,,,,,,,,,,
1521,9345838,1.046,ev,,,,,,,,,,,
1522,9346253,34.065,np,102.189,0.565,,,,,,,,,a
1523,9346655,0.872,sp,0.879,0.862,0.871,0.872,,,0.277,0.114,,,
1524,9350889,0.726,ev,,,,,,,,,,,
1525,9353182,10.476,sp,11.77,0.496,10.494,10.712,11.387,12.536,0.027,0.015,0.017,0.018,
1526,9356753,0.593,ev,,,,,,,,,,,
1527,9357275,1.588,ev,,,,,,,,,,,
1528,9366988,1.219,sp,1.206,1.489,1.202,1.208,,,0.296,0.09,,,
1529,9388303,0.267,ev,,,,,,,,,,,
1530,9389122,0.35,ev,,,,,,,,,,,
1531,9392331,0.262,ev,,,,,,,,,,,
1532,9392682,0.893,ev,,,,,,,,,,,
1533,9392702,3.909,sp,3.985,0.582,3.864,3.927,4.457,,0.018,0.018,0.084,,
1534,9394601,0.877,ev,,,,,,,,,,,
1535,9402652,1.073,ev,,,,,,,,,,,
1536,9408440,989.985,np,20.863,0.225,,,,,,,,,a
1537,9411317,8.291,sp,8.889,0.971,,,,,,,,,
1538,9411943,3.844,sp,3.862,1.448,3.828,3.878,,,0.175,0.281,,,
1539,9412462,10.187,sp,9.972,0.773,9.801,10.254,10.375,10.544,0.065,0.041,0.03,0.079,
1540,9418619,6.15,ev,,,,,,,,,,,
1541,9418994,32.004,np,30.508,0.046,,,,,,,,,a
1542,9419603,1.052,ev,,,,,,,,,,,
1543,9426071,28.714,sp,2.983,0.841,2.984,2.99,,,0.118,0.057,0.138,0.138,
1544,9426970,1.771,ev,,,,,,,,,,,
1545,9446824,4.202,sp,4.781,1.376,,,,,,,,,
1546,9451096,1.25,ev,,,,,,,,,,,
1547,9451127,5.117,sp,5.19,1.455,,,,,,,,,
1548,9453192,0.719,ev,,,,,,,,,,,
1549,9468296,5.749,sp,5.967,1.48,5.837,6.036,6.258,,0.028,0.063,0.186,,
1550,9468382,11.082,np,3.433,0.017,,,,,,,,,a
1551,9468384,11.083,sp,13.384,0.895,12.991,13.368,,,0.094,0.284,,,
1552,9470175,0.304,ev,,,,,,,,,,,
1553,9472174,0.126,ev,,,,,,,,,,,
1554,9474222,13.692,np,176.976,0.184,,,,,,,,,a
1555,9474485,1.025,sp,1.022,0.762,,,,,,,,,
1556,9474969,21.571,ot,,,,,,,,,,,
1557,9475663,0.708,ev,,,,,,,,,,,
1558,9478836,0.254,sp,20.454,0.835,18.786,22.795,,,0.089,0.057,,,
1559,9479460,2.074,ev,,,,,,,,,,,
1560,9480516,1.43,ev,,,,,,,,,,,
1561,9480535,160.134,np,5.64,0.021,,,,,,,,,a
1562,9480977,0.871,ev,,,,,,,,,,,
1563,9481674,0.389,ev,,,,,,,,,,,
1564,9489411,6.689,ev,,,,,,,,,,,
1565,9489947,54.061,np,46.772,0.149,,,,,,,,,a
1566,9508052,0.28,ev,,,,,,,,,,,
1567,9509207,14.2,sp,24.132,1.031,23.85,24.483,,,0.16,0.306,,,
1568,9512958,3.237,ce,,,,,,,,,,,
1569,9514070,0.607,ev,,,,,,,,,,,
1570,9517991,717.0,sp,16.98,0.221,16.901,22.301,23.156,28.599,0.025,0.013,0.005,0.008,
1571,9519590,0.331,ev,,,,,,,,,,,
1572,9520700,4.274,sp,4.25,1.248,,,,,,,,,
1573,9528420,4.708,sp,4.679,1.339,4.564,4.694,,,0.09,0.075,,,
1574,9528430,90.083,np,90.337,0.666,,,,,,,,,a
1575,9529733,4.809,ev,,,,,,,,,,,
1576,9529856,37.482,sp,21.476,0.775,19.135,21.775,,,0.016,0.031,0.061,0.061,
1577,9532123,8.215,sp,7.54,1.365,7.35,7.723,,,0.334,0.181,,,
1578,9532219,0.198,ev,,,,,,,,,,,
1579,9532421,4.309,sp,4.434,1.526,4.407,4.443,,,0.375,0.232,,,
1580,9533489,197.15,pu,,,,,,,,,,,
1581,9533706,0.284,ev,,,,,,,,,,,
1582,9536053,0.472,ev,,,,,,,,,,,
1583,9540450,2.155,sp,2.125,0.225,2.125,2.137,2.151,2.178,0.084,0.037,0.008,0.013,
1584,9541127,0.537,ev,,,,,,,,,,,
1585,9549472,15.714,np,15.938,0.486,,,,,,,,,a
1586,9551200,0.712,sp,0.715,1.314,0.711,0.712,,,0.218,0.338,,,
1587,9552608,9.251,pux,,,,,,,,,,,
1588,9569866,1.48,sp,1.471,1.13,1.468,1.47,1.476,1.486,0.197,0.064,0.045,0.048,
1589,9574614,0.982,np,195.202,0.269,,,,,,,,,a
1590,9576197,7.964,sp,9.113,1.499,9.028,9.094,,,0.173,0.418,,,
1591,9579192,12.084,np,18.656,0.336,,,,,,,,,a
1592,9579499,7.947,sp,16.061,1.405,,,,,,,,,
1593,9588822,71.76,sp,33.94,1.479,31.762,32.957,,,0.039,0.116,,,
1594,9592145,0.489,ev,,,,,,,,,,,
1595,9592575,5.275,sp,5.19,1.37,5.172,5.238,,,0.407,0.131,,,
1596,9592705,10.275,np,27.197,0.416,,,,,,,,,a
1597,9592855,1.219,ev,,,,,,,,,,,
1598,9593528,1.887,ev,,,,,,,,,,,
1599,9593759,2.494,sp,2.513,1.362,2.502,2.549,,,0.133,0.132,,,
1600,9596089,20.839,sp,6.498,1.731,,,,,,,,,
1601,9596187,0.953,sp,0.899,0.184,,,,,,,,,
1602,9597095,2.746,sp,2.738,1.006,2.723,2.758,3.098,3.11,0.05,0.032,0.026,0.015,
1603,9597411,3.151,sp,3.147,1.338,3.077,3.089,3.148,,0.017,0.056,0.198,,
1604,9602542,1.463,ev,,,,,,,,,,,
1605,9602595,3.557,ev,,,,,,,,,,,
1606,9613070,2.332,ev,,,,,,,,,,,
1607,9632895,27.322,sp,20.577,0.775,,,,,,,,,
1608,9634821,73.758,sp,10.789,1.25,10.544,11.575,,,0.085,0.047,,,
1609,9635529,4.704,sp,4.598,0.321,4.675,4.699,,,0.022,0.067,0.013,0.013,
1610,9636559,10.637,np,186.068,0.129,,,,,,,,,a
1611,9637239,0.773,ev,,,,,,,,,,,
