,TIC,period,morph,RA,DEC
184,116520408,0.2908731,0.783,234.143995,46.63589
185,200645730,0.2917217,0.806,320.639584,-46.460585
186,124369049,0.2917354,0.759,256.130817,-46.812753
187,402107145,0.2923328,0.721,182.336723,-27.982195
188,129810365,0.2923476,0.869,54.255976,-41.527661
189,165458777,0.2926701,0.759,180.151349,-39.259753
190,144282524,0.2929314,0.584,97.988676,41.565901
191,198410119,0.2938984,0.899,258.966545,53.990996
192,455064763,0.2957064,0.767,77.215638,2.821042
193,305675525,0.2965474,0.853,263.021165,-61.950685
194,20212631,0.2971598,0.824,227.03806,39.97024
195,388129029,0.2972816,0.81,63.710869,-68.236089
196,387513384,0.2974686,0.782,43.007085,9.510712
197,256775514,0.2976541,0.66,50.777259,3.067809
198,165982704,0.2976868,0.844,195.725913,34.991398
199,402130407,0.2991373,0.726,11.640823,-33.516158
200,233574062,0.2995439,0.904,282.155454,61.869897
201,60657338,0.2996869,0.904,138.03798,-8.347725
202,219843981,0.3016095,0.728,222.532367,29.649594
203,43398254,0.3016875,0.793,10.66862,-29.943964
204,390021728,0.3020324,0.788,277.79337,56.41748
205,440459327,0.3022254,0.727,90.539874,45.690387
206,312160410,0.3023308,0.74,313.278321,53.079268
207,10467747,0.3026197,0.53,268.039576,32.130434
208,396954096,0.3026573,0.978,63.889617,1.76607
209,394452884,0.3026648,0.719,153.762193,-81.204029
210,48318875,0.3028388,0.746,223.30064,-31.629342
211,403136932,0.3028548,0.75,333.767376,-54.278325
212,266816672,0.3031493,0.726,30.936303,-19.889183
213,263035184,0.3033046,0.727,264.489172,-39.189609
214,387513120,0.3036332,0.862,42.980347,8.416131
215,219244444,0.3037035,0.344,65.27318,-48.651962
216,274039489,0.3052865,0.376,48.717158,2.102006
217,59038877,0.3053691,0.726,57.365695,12.912179
218,59038880,0.3053725,0.722,57.364755,12.908945
219,270288280,0.3057097,0.879,215.4168,-33.907145
220,1981434198,0.3062443,0.89,316.121571,70.764514
221,160196709,0.3066134,0.764,27.598068,-46.974397
222,198313291,0.3067214,0.784,233.688392,62.278981
223,161262226,0.3073041,0.742,341.204608,-48.170247
224,13068361,0.3073681,0.808,348.140904,-24.26696
225,17562290,0.3081868,0.756,243.744295,30.276576
226,453095485,0.3082996,0.792,113.869865,-67.687662
227,255993777,0.3085178,0.651,308.232042,67.282552
228,140493525,0.3089662,0.754,21.209648,-32.689927
229,402319281,0.309847,0.756,353.545901,-15.516983
230,388179896,0.3098493,0.721,51.897971,-72.848655
231,284891601,0.3102838,0.823,260.508469,56.628422
232,349294422,0.310388,0.977,52.062304,30.02199
233,185259483,0.310564,0.837,175.108299,-6.10253
234,293619461,0.310655,0.853,59.713154,-51.175823
235,439458951,0.3111498,0.969,19.273405,-23.238572
236,233904049,0.3112479,0.734,304.745613,56.60534
237,152507230,0.3116403,0.707,63.576498,-46.449197
238,399577123,0.3119793,0.91,342.499374,-23.273222
239,43533897,0.3133685,0.666,75.396664,-8.643479
240,417052182,0.3134128,0.929,304.211738,41.96146
241,340704073,0.3136675,0.733,6.205841,-27.738636
242,90836525,0.3138837,0.892,239.257828,-57.905981
243,161083755,0.3139064,0.913,276.570634,-51.626311
244,305674644,0.3142173,0.945,263.008326,-62.367527
245,262434790,0.3143965,0.751,73.495466,4.020378
246,89239251,0.3144381,0.824,58.200245,-29.436393
247,164524541,0.3150328,0.844,283.385678,47.435225
248,164883253,0.3152043,0.785,285.094714,44.666249
249,193770329,0.3163093,0.902,268.162767,43.824816
250,279481568,0.3165456,0.771,105.529072,-56.11756
251,434515577,0.3166313,0.88,190.062679,-18.800261
252,164775666,0.3168471,0.714,27.225598,-20.892943
253,286031430,0.3170016,0.69,69.977833,53.079533
254,123625970,0.3171272,0.904,89.218139,-21.781859
255,67707714,0.3171474,0.729,225.195581,35.131873
256,468293391,0.3174147,0.77,7.116533,78.961849
257,231048083,0.317909,1.008,28.951044,-55.072173
258,5674169,0.3182028,0.854,33.036553,27.138397
259,310519261,0.3188151,0.754,242.538832,35.958508
260,421110675,0.3188568,0.73,11.469604,63.085682
261,336485975,0.318923,0.736,281.295395,28.686112
262,32543789,0.3191196,0.826,84.571666,-27.520495
263,231075361,0.3197352,1.002,67.71729,-66.831361
264,129455317,0.3207265,0.744,343.42356,37.938502
265,313025849,0.3209361,0.894,143.31097,74.613363
266,239309691,0.321014,0.718,300.539708,45.507199
267,57963765,0.3210187,0.925,5.028969,33.231061
268,383858742,0.3211244,0.943,222.179741,-42.096896
269,67296459,0.321231,0.582,83.389413,36.992354
270,67686556,0.3215666,0.735,63.036873,-10.469443
271,255682622,0.3215756,0.953,98.581994,-48.555503
272,286917658,0.3216191,0.727,121.387066,43.350452
273,206544316,0.3219472,0.437,18.41802,-59.659564
274,213067604,0.3219872,0.728,75.515526,-2.802081
275,142013583,0.3220011,0.964,96.202891,-72.011001
